line_id	trigger_key	rarity	chat_text	sound_event_id	source_ogg_01	source_ogg_02	source_ogg_03	target_ogg_01	target_ogg_02	target_ogg_03
topic_nether_fortress_ask_1	ask_about	COMMON	Long halls, blind corners, and fire. Great.	bot.line.topic_nether_fortress_ask_1	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_nether_fortress_ask_1__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_nether_fortress_ask_1__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_nether_fortress_ask_1__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_nether_fortress_ask_1__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_nether_fortress_ask_1__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_nether_fortress_ask_1__03.ogg
topic_nether_fortress_ask_2	ask_about	COMMON	If we get rods, we get out. Simple plan.	bot.line.topic_nether_fortress_ask_2	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_nether_fortress_ask_2__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_nether_fortress_ask_2__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_nether_fortress_ask_2__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_nether_fortress_ask_2__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_nether_fortress_ask_2__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_nether_fortress_ask_2__03.ogg
topic_nether_fortress_memory	memory_callback	RARE	That fortress run was stressful.	bot.line.topic_nether_fortress_memory	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_nether_fortress_memory__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_nether_fortress_memory__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_nether_fortress_memory__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_nether_fortress_memory__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_nether_fortress_memory__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_nether_fortress_memory__03.ogg
topic_bastion_first	first_unlocked	COMMON	We're guests. The hosts bite.	bot.line.topic_bastion_first	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_bastion_first__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_bastion_first__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_bastion_first__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_bastion_first__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_bastion_first__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_bastion_first__03.ogg
topic_bastion_ask_1	ask_about	COMMON	Gold makes them friendly. Temporarily.	bot.line.topic_bastion_ask_1	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_bastion_ask_1__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_bastion_ask_1__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_bastion_ask_1__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_bastion_ask_1__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_bastion_ask_1__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_bastion_ask_1__03.ogg
topic_bastion_ask_2	ask_about	COMMON	Every chest here has a price.	bot.line.topic_bastion_ask_2	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_bastion_ask_2__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_bastion_ask_2__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_bastion_ask_2__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_bastion_ask_2__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_bastion_ask_2__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_bastion_ask_2__03.ogg
topic_bastion_memory	memory_callback	RARE	Bastions taught us to respect piglins.	bot.line.topic_bastion_memory	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_bastion_memory__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_bastion_memory__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_bastion_memory__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_bastion_memory__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_bastion_memory__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_bastion_memory__03.ogg
topic_stronghold_first	first_unlocked	COMMON	We found it. The place you only reach by obsession.	bot.line.topic_stronghold_first	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_stronghold_first__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_stronghold_first__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_stronghold_first__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_stronghold_first__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_stronghold_first__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_stronghold_first__03.ogg
topic_stronghold_ask_1	ask_about	COMMON	Every hallway says final exam.	bot.line.topic_stronghold_ask_1	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_stronghold_ask_1__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_stronghold_ask_1__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_stronghold_ask_1__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_stronghold_ask_1__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_stronghold_ask_1__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_stronghold_ask_1__03.ogg
topic_stronghold_ask_2	ask_about	COMMON	This is the doorway to consequences.	bot.line.topic_stronghold_ask_2	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_stronghold_ask_2__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_stronghold_ask_2__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_stronghold_ask_2__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_stronghold_ask_2__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_stronghold_ask_2__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_stronghold_ask_2__03.ogg
topic_stronghold_memory	memory_callback	RARE	Stronghold stone still feels cold.	bot.line.topic_stronghold_memory	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_stronghold_memory__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_stronghold_memory__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_stronghold_memory__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_stronghold_memory__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_stronghold_memory__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_stronghold_memory__03.ogg
topic_ancient_city_first	first_unlocked	COMMON	This is a cathedral for bad ideas.	bot.line.topic_ancient_city_first	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_ancient_city_first__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_ancient_city_first__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_ancient_city_first__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_ancient_city_first__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_ancient_city_first__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_ancient_city_first__03.ogg
topic_ancient_city_ask_1	ask_about	COMMON	Don't be loud.	bot.line.topic_ancient_city_ask_1	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_ancient_city_ask_1__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_ancient_city_ask_1__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_ancient_city_ask_1__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_ancient_city_ask_1__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_ancient_city_ask_1__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_ancient_city_ask_1__03.ogg
topic_ancient_city_ask_2	ask_about	COMMON	We're here to take loot, not to prove anything.	bot.line.topic_ancient_city_ask_2	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_ancient_city_ask_2__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_ancient_city_ask_2__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_ancient_city_ask_2__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_ancient_city_ask_2__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_ancient_city_ask_2__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_ancient_city_ask_2__03.ogg
topic_ancient_city_memory	memory_callback	RARE	Ancient City... I'd rather not do that again.	bot.line.topic_ancient_city_memory	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_ancient_city_memory__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_ancient_city_memory__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_ancient_city_memory__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_ancient_city_memory__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_ancient_city_memory__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_ancient_city_memory__03.ogg
topic_trial_chambers_first	first_unlocked	COMMON	A dungeon designed by someone who hates safety.	bot.line.topic_trial_chambers_first	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_trial_chambers_first__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_trial_chambers_first__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_trial_chambers_first__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_trial_chambers_first__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_trial_chambers_first__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_trial_chambers_first__03.ogg
topic_trial_chambers_ask_1	ask_about	COMMON	This place rewards aggression. Carefully.	bot.line.topic_trial_chambers_ask_1	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_trial_chambers_ask_1__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_trial_chambers_ask_1__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_trial_chambers_ask_1__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_trial_chambers_ask_1__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_trial_chambers_ask_1__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_trial_chambers_ask_1__03.ogg
topic_trial_chambers_ask_2	ask_about	COMMON	We can leave any time. That's the strategy.	bot.line.topic_trial_chambers_ask_2	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_trial_chambers_ask_2__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_trial_chambers_ask_2__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_trial_chambers_ask_2__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_trial_chambers_ask_2__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_trial_chambers_ask_2__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_trial_chambers_ask_2__03.ogg
topic_trial_chambers_memory	memory_callback	RARE	Trials were fun. In the way pain is fun.	bot.line.topic_trial_chambers_memory	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_trial_chambers_memory__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_trial_chambers_memory__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_trial_chambers_memory__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_trial_chambers_memory__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_trial_chambers_memory__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_trial_chambers_memory__03.ogg
topic_nether_first	first_unlocked	COMMON	New dimension. Same problems, louder.	bot.line.topic_nether_first	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_nether_first__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_nether_first__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_nether_first__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_nether_first__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_nether_first__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_nether_first__03.ogg
topic_nether_ask_1	ask_about	COMMON	Rule one: don't trust the floor.	bot.line.topic_nether_ask_1	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_nether_ask_1__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_nether_ask_1__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_nether_ask_1__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_nether_ask_1__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_nether_ask_1__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_nether_ask_1__03.ogg
topic_nether_ask_2	ask_about	COMMON	Rule two: don't trust the ceiling either.	bot.line.topic_nether_ask_2	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_nether_ask_2__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_nether_ask_2__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_nether_ask_2__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_nether_ask_2__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_nether_ask_2__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_nether_ask_2__03.ogg
topic_nether_memory	memory_callback	RARE	The Nether changed the tone of the whole adventure.	bot.line.topic_nether_memory	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_nether_memory__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_nether_memory__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_nether_memory__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_nether_memory__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_nether_memory__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_nether_memory__03.ogg
topic_end_first	first_unlocked	COMMON	The End. Keep your eyes to yourself.	bot.line.topic_end_first	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_end_first__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_end_first__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_end_first__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_end_first__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_end_first__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_end_first__03.ogg
topic_end_ask_1	ask_about	COMMON	It's quiet here. That's never a good sign.	bot.line.topic_end_ask_1	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_end_ask_1__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_end_ask_1__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_end_ask_1__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_end_ask_1__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_end_ask_1__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_end_ask_1__03.ogg
topic_end_ask_2	ask_about	COMMON	We came this far. No sloppy mistakes.	bot.line.topic_end_ask_2	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_end_ask_2__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_end_ask_2__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_end_ask_2__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_end_ask_2__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_end_ask_2__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_end_ask_2__03.ogg
topic_end_memory	memory_callback	RARE	The End felt like stepping outside the world.	bot.line.topic_end_memory	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_end_memory__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_end_memory__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_end_memory__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_end_memory__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_end_memory__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_end_memory__03.ogg
topic_trader_first_1	first_unlocked	COMMON	A salesman approaches. Stay strong.	bot.line.topic_trader_first_1	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_trader_first_1__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_trader_first_1__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_trader_first_1__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_trader_first_1__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_trader_first_1__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_trader_first_1__03.ogg
topic_trader_first_2	first_unlocked	COMMON	That's either commerce... or a scam with llamas.	bot.line.topic_trader_first_2	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_trader_first_2__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_trader_first_2__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_trader_first_2__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_trader_first_2__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_trader_first_2__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_trader_first_2__03.ogg
topic_trader_ask_1	ask_about	COMMON	He sells junk with confidence. I respect it.	bot.line.topic_trader_ask_1	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_trader_ask_1__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_trader_ask_1__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_trader_ask_1__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_trader_ask_1__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_trader_ask_1__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_trader_ask_1__03.ogg
topic_trader_ask_2	ask_about	COMMON	He travels the world to offer... two ferns and a bucket. Iconic.	bot.line.topic_trader_ask_2	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_trader_ask_2__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_trader_ask_2__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_trader_ask_2__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_trader_ask_2__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_trader_ask_2__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_trader_ask_2__03.ogg
topic_trader_ask_3	ask_about	COMMON	The llamas are the real security detail.	bot.line.topic_trader_ask_3	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_trader_ask_3__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_trader_ask_3__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_trader_ask_3__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_trader_ask_3__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_trader_ask_3__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_trader_ask_3__03.ogg
topic_trader_memory_1	memory_callback	RARE	Remember the wandering trader? He had the vibe of a side quest.	bot.line.topic_trader_memory_1	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_trader_memory_1__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_trader_memory_1__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_trader_memory_1__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_trader_memory_1__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_trader_memory_1__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_trader_memory_1__03.ogg
topic_trader_memory_2	memory_callback	RARE	I still think about those llamas. Professional posture.	bot.line.topic_trader_memory_2	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_trader_memory_2__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_trader_memory_2__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_trader_memory_2__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_trader_memory_2__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_trader_memory_2__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_trader_memory_2__03.ogg
topic_llama_first	first_unlocked	COMMON	Those llamas look like they've seen things.	bot.line.topic_llama_first	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_llama_first__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_llama_first__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_llama_first__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_llama_first__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_llama_first__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_llama_first__03.ogg
topic_llama_ask_1	ask_about	COMMON	They're not pets. They're coworkers.	bot.line.topic_llama_ask_1	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_llama_ask_1__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_llama_ask_1__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_llama_ask_1__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_llama_ask_1__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_llama_ask_1__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_llama_ask_1__03.ogg
topic_llama_ask_2	ask_about	COMMON	If one spits at me, I'm taking it personally.	bot.line.topic_llama_ask_2	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_llama_ask_2__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_llama_ask_2__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_llama_ask_2__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_llama_ask_2__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_llama_ask_2__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_llama_ask_2__03.ogg
topic_llama_ask_3	ask_about	COMMON	Respect the llama. Fear the llama.	bot.line.topic_llama_ask_3	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_llama_ask_3__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_llama_ask_3__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_llama_ask_3__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_llama_ask_3__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_llama_ask_3__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_llama_ask_3__03.ogg
topic_llama_memory	memory_callback	RARE	We met a trader's llamas once. I'm still not over it.	bot.line.topic_llama_memory	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_llama_memory__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_llama_memory__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_llama_memory__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_llama_memory__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_llama_memory__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_llama_memory__03.ogg
topic_horse_first_1	first_unlocked	COMMON	Horse acquired. Dignity restored.	bot.line.topic_horse_first_1	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_horse_first_1__01.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_horse_first_1__02.ogg	/Users/roti/gemini_projects/ai-player-dialogue/january_2026_batch3/output_ogg/topic_horse_first_1__03.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_horse_first_1__01.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_horse_first_1__02.ogg	src/main/resources/assets/ai-player/sounds/dialogue/topic_horse_first_1__03.ogg
